               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.030954,            0.026329,            0.013838,             0.52008,             0.80587,             0.63373,             0.43786,            0.027087,            0.021664,           0.0089645,             0.00208,             0.00208,             0.00208
                  82,            0.029749,             0.02879,            0.015598,             0.52008,             0.80587,             0.63373,             0.43786,            0.027087,            0.021664,           0.0089645,            0.001981,            0.001981,            0.001981
                  83,            0.030001,            0.028796,            0.013688,             0.50835,             0.79892,              0.6343,             0.46103,            0.027099,            0.021664,           0.0088833,            0.001882,            0.001882,            0.001882
                  84,            0.029954,            0.030884,            0.013162,             0.47862,                0.75,             0.60459,             0.44986,            0.026254,            0.021839,           0.0087631,            0.001783,            0.001783,            0.001783
                  85,             0.02887,            0.031083,            0.013387,              0.4712,                0.75,              0.6028,             0.42691,            0.025315,             0.02243,           0.0086849,            0.001684,            0.001684,            0.001684
                  86,            0.029491,            0.032794,            0.014713,              0.4712,                0.75,              0.6028,             0.42691,            0.025315,             0.02243,           0.0086849,            0.001585,            0.001585,            0.001585
                  87,            0.027412,            0.029736,            0.012956,             0.49363,              0.8065,             0.60698,             0.40621,            0.025001,            0.022621,           0.0086208,            0.001486,            0.001486,            0.001486
                  88,            0.027763,            0.024359,            0.013632,             0.47867,             0.80914,             0.61153,             0.43305,            0.026776,            0.022449,           0.0085678,            0.001387,            0.001387,            0.001387
                  89,             0.02637,            0.025229,             0.01445,             0.44075,              0.7994,             0.61153,             0.46192,            0.023037,            0.022617,           0.0084888,            0.001288,            0.001288,            0.001288
                  90,            0.026875,            0.029003,            0.014998,             0.44075,              0.7994,             0.61153,             0.46192,            0.023037,            0.022617,           0.0084888,            0.001189,            0.001189,            0.001189
                  91,             0.02678,            0.028666,            0.013474,              0.4053,             0.76602,             0.58743,             0.44588,            0.023191,            0.022526,           0.0084328,             0.00109,             0.00109,             0.00109
                  92,            0.025726,            0.027568,             0.01299,             0.40715,             0.90111,             0.59424,             0.44679,            0.022916,            0.022472,           0.0083897,            0.000991,            0.000991,            0.000991
                  93,            0.025894,             0.02669,            0.014976,             0.37195,                   1,             0.59556,             0.43427,            0.023585,            0.022839,           0.0083405,            0.000892,            0.000892,            0.000892
                  94,            0.024201,            0.025629,            0.012943,             0.37195,                   1,             0.59556,             0.43427,            0.023585,            0.022839,           0.0083405,            0.000793,            0.000793,            0.000793
                  95,            0.026728,            0.028908,            0.012998,             0.37759,                   1,             0.59734,             0.44997,            0.023942,            0.023151,           0.0082985,            0.000694,            0.000694,            0.000694
                  96,            0.024261,            0.026091,            0.012438,             0.40421,             0.73459,             0.59734,             0.44783,            0.023429,            0.023346,           0.0082436,            0.000595,            0.000595,            0.000595
                  97,            0.025969,            0.027223,            0.013282,             0.37432,                   1,             0.57472,             0.45158,            0.022183,            0.023525,           0.0081955,            0.000496,            0.000496,            0.000496
                  98,            0.024847,            0.027127,            0.013906,             0.37432,                   1,             0.57472,             0.45158,            0.022183,            0.023525,           0.0081955,            0.000397,            0.000397,            0.000397
                  99,            0.024859,            0.029197,            0.013478,             0.37665,                   1,             0.58931,             0.46041,            0.022044,            0.023624,           0.0081593,            0.000298,            0.000298,            0.000298
